Orthography	Transcription
ABC'S	eɪ.b.i.s.i.z
ABCO	æ.b.k.oʊ
ABCOTEK	æ.b.k.oʊ.t.ɛ.k
ABCS	eɪ.b.i.s.i.z
ABDALLA	æ.b.d.æ.l.ʌ
ABDALLAH	æ.b.d.æ.l.ʌ
ABDEL	æ.b.d.ɛ.l
ABDELLA	æ.b.d.ɛ.l.ʌ
ABDICATE	æ.b.d.ʌ.k.eɪ.t
ABDICATED	æ.b.d.ʌ.k.eɪ.t.ʌ.d
ABDICATES	æ.b.d.ʌ.k.eɪ.t.s
ABDICATING	æ.b.d.ɪ.k.eɪ.t.ɪ.ŋ
ABDICATION	æ.b.d.ɪ.k.eɪ.ʃ.ʌ.n
ABDNOR	æ.b.d.n.ɚ
ABDO	æ.b.d.oʊ
ABDOLLAH	æ.b.d.ɑ.l.ʌ
ABDOMEN	æ.b.d.oʊ.m.ʌ.n
ABDOMEN(1)	æ.b.d.ʌ.m.ʌ.n
ABDOMINAL	æ.b.d.ɑ.m.ʌ.n.ʌ.l
ABDOMINAL(1)	ʌ.b.d.ɑ.m.ʌ.n.ʌ.l
ABDUCT	æ.b.d.ʌ.k.t
ABDUCTED	æ.b.d.ʌ.k.t.ɪ.d
ABDUCTED(1)	ʌ.b.d.ʌ.k.t.ɪ.d
ABDUCTEE	æ.b.d.ʌ.k.t.i
ABDUCTEES	æ.b.d.ʌ.k.t.i.z
ABDUCTING	æ.b.d.ʌ.k.t.ɪ.ŋ
ABDUCTING(1)	ʌ.b.d.ʌ.k.t.ɪ.ŋ
ABDUCTION	æ.b.d.ʌ.k.ʃ.ʌ.n
ABDUCTION(1)	ʌ.b.d.ʌ.k.ʃ.ʌ.n
ABDUCTIONS	æ.b.d.ʌ.k.ʃ.ʌ.n.z
ABDUCTIONS(1)	ʌ.b.d.ʌ.k.ʃ.ʌ.n.z
ABDUCTOR	æ.b.d.ʌ.k.t.ɚ
ABDUCTOR(1)	ʌ.b.d.ʌ.k.t.ɚ
ABDUCTORS	æ.b.d.ʌ.k.t.ɚ.z
ABDUCTORS(1)	ʌ.b.d.ʌ.k.t.ɚ.z
ABDUCTS	æ.b.d.ʌ.k.t.s
ABDUL	æ.b.d.u.l
ABDULAZIZ	æ.b.d.u.l.ʌ.z.i.z
ABDULLA	ɑ.b.d.u.l.ʌ
ABDULLAH	æ.b.d.ʌ.l.ʌ
ABE	eɪ.b
ABED	ʌ.b.ɛ.d
ABEDI	ʌ.b.ɛ.d.i
ABEE	ʌ.b.i
ABEL	eɪ.b.ʌ.l
ABELA	ɑ.b.ɛ.l.ʌ
ABELARD	æ.b.ɪ.l.ɚ.d
ABELE	ʌ.b.ɛ.l
ABELES	ʌ.b.ɛ.l.z
ABELES(1)	eɪ.b.ʌ.l.i.z
ABELL	eɪ.b.ʌ.l
ABELLA	ʌ.b.ɛ.l.ʌ
ABELN	æ.b.ɪ.l.n
ABELOW	æ.b.ʌ.l.oʊ
ABELS	eɪ.b.ʌ.l.z
ABELSON	æ.b.ɪ.l.s.ʌ.n
ABEND	æ.b.ɛ.n.d
ABEND(1)	ʌ.b.ɛ.n.d
ABENDROTH	æ.b.ɪ.n.d.r.ɔ.θ
ABER	eɪ.b.ɚ
ABERCROMBIE	æ.b.ɚ.k.r.ɑ.m.b.i
ABERDEEN	æ.b.ɚ.d.i.n
ABERFORD	eɪ.b.ɚ.f.ɚ.d
ABERG	æ.b.ɚ.g
ABERLE	æ.b.ɚ.ʌ.l
ABERLE(1)	æ.b.ɚ.l
ABERMIN	æ.b.ɚ.m.ɪ.n
ABERNATHY	æ.b.ɚ.n.æ.θ.i
ABERNETHY	æ.b.ɚ.n.ɛ.θ.i
ABERRANT	æ.b.ɛ.r.ʌ.n.t
ABERRATION	æ.b.ɚ.eɪ.ʃ.ʌ.n
ABERRATIONAL	æ.b.ɚ.eɪ.ʃ.ʌ.n.ʌ.l
ABERRATIONS	æ.b.ɚ.eɪ.ʃ.ʌ.n.z
ABERT	æ.b.ɚ.t
ABET	ʌ.b.ɛ.t
ABETTED	ʌ.b.ɛ.t.ɪ.d
ABETTING	ʌ.b.ɛ.t.ɪ.ŋ
ABEX	eɪ.b.ɛ.k.s
ABEYANCE	ʌ.b.eɪ.ʌ.n.s
ABEYTA	ɑ.b.eɪ.t.ʌ
ABHOR	æ.b.h.ɔ.r
ABHORRED	ʌ.b.h.ɔ.r.d
ABHORRENCE	ʌ.b.h.ɔ.r.ʌ.n.s
ABHORRENT	æ.b.h.ɔ.r.ʌ.n.t
ABHORS	ʌ.b.h.ɔ.r.z
ABIAM	eɪ.b.i.ʌ.m
ABIAM'S	eɪ.b.i.ʌ.m.z
ABID	eɪ.b.ɪ.d
ABIDE	ʌ.b.aɪ.d
ABIDED	ʌ.b.aɪ.d.ɪ.d
ABIDES	ʌ.b.aɪ.d.z
ABIDING	ʌ.b.aɪ.d.ɪ.ŋ
ABIDJAN	æ.b.ɪ.dʒ.ɑ.n
ABIE	æ.b.i
ABIGAIL	æ.b.ʌ.g.eɪ.l
ABILA	ɑ.b.i.l.ʌ
ABILENE	æ.b.ɪ.l.i.n
ABILITIES	ʌ.b.ɪ.l.ʌ.t.i.z
ABILITY	ʌ.b.ɪ.l.ʌ.t.i
ABIMAEL	æ.b.ɪ.m.eɪ.l
ABIMAELS	æ.b.ɪ.m.eɪ.l.z
ABINGDON	æ.b.ɪ.ŋ.d.ʌ.n
ABINGTON	æ.b.ɪ.ŋ.t.ʌ.n
ABIO	ɑ.b.i.oʊ
ABIOLA	ɑ.b.i.oʊ.l.ʌ
ABIOLA'S	ɑ.b.i.oʊ.l.ʌ.z
ABIOMED	eɪ.b.i.ʌ.m.ɛ.d
ABIQUIU	ʌ.b.ɪ.k.j.u
ABITIBI	æ.b.ɪ.t.i.b.i
ABITZ	æ.b.ɪ.t.s
ABJECT	æ.b.dʒ.ɛ.k.t
ABKHAZIA	æ.b.k.ɑ.z.j.ʌ
ABKHAZIA(1)	æ.b.k.æ.z.j.ʌ
ABKHAZIAN	æ.b.k.ɑ.z.i.ʌ.n
ABKHAZIAN(1)	æ.b.k.æ.z.i.ʌ.n
ABKHAZIAN(2)	æ.b.k.ɑ.z.j.ʌ.n
ABKHAZIAN(3)	æ.b.k.æ.z.j.ʌ.n
ABKHAZIANS	æ.b.k.ɑ.z.i.ʌ.n.z
ABKHAZIANS(1)	æ.b.k.æ.z.i.ʌ.n.z
ABLAZE	ʌ.b.l.eɪ.z
ABLE	eɪ.b.ʌ.l
ABLE-BODIED	eɪ.b.ʌ.l.b.ɑ.d.i.d
ABLED	eɪ.b.ʌ.l.d
ABLER	eɪ.b.ʌ.l.ɚ
ABLER(1)	eɪ.b.l.ɚ
ABLES	eɪ.b.ʌ.l.z
ABLEST	eɪ.b.ʌ.l.s.t
ABLEST(1)	eɪ.b.l.ʌ.s.t
ABLOOM	ʌ.b.l.u.m
ABLY	eɪ.b.l.i
ABNEGATION	æ.b.n.ɛ.g.eɪ.ʃ.ʌ.n
ABNER	æ.b.n.ɚ
ABNEY	æ.b.n.i
ABNORMAL	æ.b.n.ɔ.r.m.ʌ.l
ABNORMALITIES	æ.b.n.ɔ.r.m.æ.l.ʌ.t.i.z
ABNORMALITY	æ.b.n.ɔ.r.m.æ.l.ʌ.t.i
ABNORMALLY	æ.b.n.ɔ.r.m.ʌ.l.i
ABO	ɑ.b.oʊ
ABO'S	ɑ.b.oʊ.z
ABOARD	ʌ.b.ɔ.r.d
ABODE	ʌ.b.oʊ.d
ABOHALIMA	æ.b.ʌ.h.ʌ.l.i.m.ʌ
ABOLISH	ʌ.b.ɑ.l.ɪ.ʃ
ABOLISHED	ʌ.b.ɑ.l.ɪ.ʃ.t
ABOLISHES	ʌ.b.ɑ.l.ɪ.ʃ.ɪ.z
ABOLISHING	ʌ.b.ɑ.l.ɪ.ʃ.ɪ.ŋ
ABOLITION	æ.b.ʌ.l.ɪ.ʃ.ʌ.n
ABOLITIONISM	æ.b.ʌ.l.ɪ.ʃ.ʌ.n.ɪ.z.ʌ.m
ABOLITIONIST	æ.b.ʌ.l.ɪ.ʃ.ʌ.n.ʌ.s.t
ABOLITIONISTS	æ.b.ʌ.l.ɪ.ʃ.ʌ.n.ʌ.s.t.s
ABOLITIONISTS(1)	æ.b.ʌ.l.ɪ.ʃ.ʌ.n.ʌ.s
ABOMINABLE	ʌ.b.ɑ.m.ʌ.n.ʌ.b.ʌ.l
ABOMINATION	ʌ.b.ɑ.m.ʌ.n.eɪ.ʃ.ʌ.n
ABOMINATIONS	ʌ.b.ɑ.m.ʌ.n.eɪ.ʃ.ʌ.n.z
ABOOD	ʌ.b.u.d
ABOODI	ʌ.b.u.d.i
ABOR	ʌ.b.ɔ.r
ABORIGINAL	æ.b.ɚ.ɪ.dʒ.ʌ.n.ʌ.l
ABORIGINE	æ.b.ɚ.ɪ.dʒ.ʌ.n.i
ABORIGINES	æ.b.ɚ.ɪ.dʒ.ʌ.n.i.z
ABORN	ʌ.b.ɔ.r.n
ABORT	ʌ.b.ɔ.r.t
ABORTED	ʌ.b.ɔ.r.t.ɪ.d
ABORTIFACIENT	ʌ.b.ɔ.r.t.ʌ.f.eɪ.ʃ.ʌ.n.t
ABORTIFACIENTS	ʌ.b.ɔ.r.t.ʌ.f.eɪ.ʃ.ʌ.n.t.s
ABORTING	ʌ.b.ɔ.r.t.ɪ.ŋ
ABORTION	ʌ.b.ɔ.r.ʃ.ʌ.n
ABORTIONIST	ʌ.b.ɔ.r.ʃ.ʌ.n.ɪ.s.t
ABORTIONISTS	ʌ.b.ɔ.r.ʃ.ʌ.n.ɪ.s.t.s
ABORTIONISTS(1)	ʌ.b.ɔ.r.ʃ.ʌ.n.ɪ.s
ABORTIONS	ʌ.b.ɔ.r.ʃ.ʌ.n.z
ABORTIVE	ʌ.b.ɔ.r.t.ɪ.v
ABORTS	ʌ.b.ɔ.r.t.s
ABOTT	ʌ.b.ɑ.t
ABOU	ʌ.b.u
ABOUD	ɑ.b.u.d
ABOUHALIMA	ɑ.b.u.h.ɑ.l.i.m.ʌ
ABOUHALIMA'S	ɑ.b.u.h.ɑ.l.i.m.ʌ.z
ABOUND	ʌ.b.aʊ.n.d
ABOUNDED	ʌ.b.aʊ.n.d.ɪ.d
ABOUNDING	ʌ.b.aʊ.n.d.ɪ.ŋ
ABOUNDS	ʌ.b.aʊ.n.d.z
ABOUT	ʌ.b.aʊ.t
ABOUT'S	ʌ.b.aʊ.t.s
ABOVE	ʌ.b.ʌ.v
ABOVE'S	ʌ.b.ʌ.v.z
ABOVEBOARD	ʌ.b.ʌ.v.b.ɔ.r.d
ABPLANALP	æ.b.p.l.ʌ.n.æ.l.p
ABRA	ɑ.b.r.ʌ
ABRACADABRA	æ.b.r.ʌ.k.ʌ.d.æ.b.r.ʌ
ABRAHAM	eɪ.b.r.ʌ.h.æ.m
ABRAHAMIAN	æ.b.r.ʌ.h.eɪ.m.i.ʌ.n
ABRAHAMS	eɪ.b.r.ʌ.h.æ.m.z
ABRAHAMSEN	æ.b.r.ʌ.h.æ.m.s.ʌ.n
ABRAHAMSON	ʌ.b.r.æ.h.ʌ.m.s.ʌ.n
ABRAM	ʌ.b.r.æ.m
ABRAM'S	eɪ.b.r.ʌ.m.z
ABRAMCZYK	ɑ.b.r.ʌ.m.tʃ.ɪ.k
ABRAMO	ɑ.b.r.ɑ.m.oʊ
ABRAMOVITZ	ʌ.b.r.ɑ.m.ʌ.v.ɪ.t.s
ABRAMOWICZ	ʌ.b.r.ɑ.m.ʌ.v.ɪ.tʃ
ABRAMOWITZ	ʌ.b.r.ɑ.m.ʌ.w.ɪ.t.s
ABRAMS	eɪ.b.r.ʌ.m.z
ABRAMS'S	eɪ.b.r.ʌ.m.z.ɪ.z
ABRAMSON	eɪ.b.r.ʌ.m.s.ʌ.n
ABRASION	ʌ.b.r.eɪ.ʒ.ʌ.n
ABRASIONS	ʌ.b.r.eɪ.ʒ.ʌ.n.z
ABRASIVE	ʌ.b.r.eɪ.s.ɪ.v
ABRASIVES	ʌ.b.r.eɪ.s.ɪ.v.z
ABRAXA	ʌ.b.r.æ.k.s.ʌ
ABRAXA'S	ʌ.b.r.æ.k.s.ʌ.z
ABRAXAS	ʌ.b.r.æ.k.s.ʌ.z
ABREAST	ʌ.b.r.ɛ.s.t
ABREGO	ɑ.b.r.ɛ.g.oʊ
ABREU	ʌ.b.r.u
ABRIDGE	ʌ.b.r.ɪ.dʒ
ABRIDGED	ʌ.b.r.ɪ.dʒ.d
ABRIDGEMENT	ʌ.b.r.ɪ.dʒ.m.ʌ.n.t
ABRIDGES	ʌ.b.r.ɪ.dʒ.ʌ.z
ABRIDGING	ʌ.b.r.ɪ.dʒ.ɪ.ŋ
ABRIL	ʌ.b.r.ɪ.l
ABROAD	ʌ.b.r.ɔ.d
ABROGATE	æ.b.r.ʌ.g.eɪ.t
ABROGATED	æ.b.r.ʌ.g.eɪ.t.ɪ.d
ABROGATING	æ.b.r.ʌ.g.eɪ.t.ɪ.ŋ
ABROGATION	æ.b.r.ʌ.g.eɪ.ʃ.ʌ.n
ABROL	ʌ.b.r.oʊ.l
ABRON	ʌ.b.r.ɑ.n
ABRUPT	ʌ.b.r.ʌ.p.t
ABRUPTLY	ʌ.b.r.ʌ.p.t.l.i
ABRUPTNESS	ʌ.b.r.ʌ.p.t.n.ʌ.s
ABRUTYN	eɪ.b.r.u.t.ɪ.n
ABRUZZESE	ɑ.b.r.u.t.s.eɪ.z.i
ABRUZZO	ɑ.b.r.u.z.oʊ
ABS	eɪ.b.i.ɛ.s
ABS(1)	æ.b.z
ABSALOM	æ.b.s.ʌ.l.ʌ.m
ABSARAKA	æ.b.s.ɑ.r.ʌ.k.ʌ
ABSCAM	æ.b.s.k.æ.m
ABSCESS	æ.b.s.ɛ.s
ABSCOND	æ.b.s.k.ɑ.n.d
ABSCONDED	æ.b.s.k.ɑ.n.d.ʌ.d
ABSCONDING	æ.b.s.k.ɑ.n.d.ɪ.ŋ
ABSCONDS	æ.b.s.k.ɑ.n.d.z
ABSECON	æ.b.s.ʌ.k.ɔ.n
ABSENCE	æ.b.s.ʌ.n.s
ABSENCES	æ.b.s.ʌ.n.s.ɪ.z
ABSENT	æ.b.s.ʌ.n.t
ABSENTEE	æ.b.s.ʌ.n.t.i
ABSENTEEISM	æ.b.s.ʌ.n.t.i.ɪ.z.ʌ.m
ABSENTEES	æ.b.s.ʌ.n.t.i.z
ABSENTIA	æ.b.s.ɛ.n.ʃ.ʌ
ABSHER	æ.b.ʃ.ɚ
ABSHIER	æ.b.ʃ.i.ɚ
ABSHIRE	æ.b.ʃ.aɪ.r
ABSINTHE	æ.b.s.ɪ.n.θ
ABSO	æ.b.s.oʊ
ABSOLOM	æ.b.s.ʌ.l.ʌ.m
ABSOLUT	æ.b.s.ʌ.l.u.t
ABSOLUT'S	æ.b.s.ʌ.l.u.t.s
ABSOLUTE	æ.b.s.ʌ.l.u.t
ABSOLUTELY	æ.b.s.ʌ.l.u.t.l.i
ABSOLUTENESS	æ.b.s.ʌ.l.u.t.n.ʌ.s
ABSOLUTES	æ.b.s.ʌ.l.u.t.s
ABSOLUTION	æ.b.s.ʌ.l.u.ʃ.ʌ.n
ABSOLUTISM	æ.b.s.ʌ.l.u.t.ɪ.z.ʌ.m
ABSOLUTIST	æ.b.s.ʌ.l.u.t.ɪ.s.t
ABSOLVE	ʌ.b.z.ɑ.l.v
ABSOLVE(1)	æ.b.z.ɑ.l.v
ABSOLVED	ʌ.b.z.ɑ.l.v.d
ABSOLVED(1)	æ.b.z.ɑ.l.v.d
ABSOLVES	ʌ.b.z.ɑ.l.v.z
ABSOLVES(1)	æ.b.z.ɑ.l.v.z
ABSOLVING	ʌ.b.z.ɑ.l.v.ɪ.ŋ
ABSOLVING(1)	æ.b.z.ɑ.l.v.ɪ.ŋ
ABSORB	ʌ.b.z.ɔ.r.b
ABSORBED	ʌ.b.z.ɔ.r.b.d
ABSORBENCY	ʌ.b.z.ɔ.r.b.ʌ.n.s.i
ABSORBENT	ʌ.b.z.ɔ.r.b.ʌ.n.t
ABSORBER	ʌ.b.z.ɔ.r.b.ɚ
ABSORBERS	ʌ.b.z.ɔ.r.b.ɚ.z
ABSORBING	ʌ.b.z.ɔ.r.b.ɪ.ŋ
ABSORBS	ʌ.b.z.ɔ.r.b.z
ABSORPTION	ʌ.b.z.ɔ.r.p.ʃ.ʌ.n
ABSORPTION(1)	ʌ.b.s.ɔ.r.p.ʃ.ʌ.n
ABSTAIN	ʌ.b.s.t.eɪ.n
ABSTAIN(1)	æ.b.s.t.eɪ.n
ABSTAINED	ʌ.b.s.t.eɪ.n.d
ABSTAINED(1)	æ.b.s.t.eɪ.n.d
ABSTAINING	ʌ.b.s.t.eɪ.n.ɪ.ŋ
ABSTAINING(1)	æ.b.s.t.eɪ.n.ɪ.ŋ
ABSTENTION	ʌ.b.s.t.ɛ.n.tʃ.ʌ.n
ABSTENTION(1)	æ.b.s.t.ɛ.n.tʃ.ʌ.n
ABSTENTIONS	ʌ.b.s.t.ɛ.n.tʃ.ʌ.n.z
ABSTENTIONS(1)	æ.b.s.t.ɛ.n.tʃ.ʌ.n.z
ABSTINENCE	æ.b.s.t.ʌ.n.ʌ.n.s
ABSTINENT	æ.b.s.t.ʌ.n.ʌ.n.t
ABSTON	æ.b.s.t.ʌ.n
ABSTRACT	æ.b.s.t.r.æ.k.t
ABSTRACT(1)	æ.b.s.t.r.æ.k.t
ABSTRACTED	æ.b.s.t.r.æ.k.t.ɪ.d
ABSTRACTION	æ.b.s.t.r.æ.k.ʃ.ʌ.n
ABSTRACTIONS	æ.b.s.t.r.æ.k.ʃ.ʌ.n.z
ABSTRACTS	æ.b.s.t.r.æ.k.t.s
ABSTRUSE	ʌ.b.s.t.r.u.s
ABSURD	ʌ.b.s.ɚ.d
ABSURDIST	ʌ.b.s.ɚ.d.ɪ.s.t
ABSURDITIES	ʌ.b.s.ɚ.d.ʌ.t.i.z
ABSURDITY	ʌ.b.s.ɚ.d.ʌ.t.i
ABSURDLY	ʌ.b.s.ɚ.d.l.i
ABT	æ.b.t
ABT(1)	eɪ.b.i.t.i
ABTS	æ.b.t.s
ABTS(1)	eɪ.b.i.t.i.z
ABTS(2)	eɪ.b.i.t.i.ɛ.s
ABU	æ.b.u
ABUDRAHM	ʌ.b.ʌ.d.r.ʌ.m
ABUELLAH	ʌ.b.w.ɛ.l.ʌ
ABUELLAH'S	ʌ.b.w.ɛ.l.ʌ.z
ABULADZE	æ.b.j.u.l.æ.d.z.i
ABUNDANCE	ʌ.b.ʌ.n.d.ʌ.n.s
ABUNDANT	ʌ.b.ʌ.n.d.ʌ.n.t
ABUNDANTLY	ʌ.b.ʌ.n.d.ʌ.n.t.l.i
ABURTO	ʌ.b.ʊ.r.t.oʊ
ABURTO'S	ʌ.b.ʊ.r.t.oʊ.z
ABUSE	ʌ.b.j.u.s
ABUSE(1)	ʌ.b.j.u.z
ABUSED	ʌ.b.j.u.z.d
ABUSER	ʌ.b.j.u.z.ɚ
ABUSERS	ʌ.b.j.u.z.ɚ.z
ABUSES	ʌ.b.j.u.s.ɪ.z
ABUSES(1)	ʌ.b.j.u.z.ɪ.z
