Orthography	Transcription
)RIGHT-PAREN	ɹ.aɪ1.t.p.ɛ2.ɹ.ʌ0.n
)UN-PARENTHESES	ʌ1.n.p.ɚ0.ɛ1.n.θ.ʌ0.s.i1.z
+PLUS	p.l.ʊ1.s
,COMMA	k.ɑ1.m.ʌ0
--DASH	d.æ1.ʃ
-DASH	d.æ1.ʃ
-HYPHEN	h.aɪ1.f.ʌ0.n
...ELLIPSIS	ɪ2.l.ɪ1.p.s.ɪ0.s
.DECIMAL	d.ɛ1.s.ʌ0.m.ʌ0.l
.DOT	d.ɑ1.t
.FULL-STOP	f.ʊ1.l.s.t.ɑ1.p
.PERIOD	p.ɪ1.ɹ.i0.ʌ0.d
.POINT	p.ɔɪ1.n.t
/SLASH	s.l.æ1.ʃ
3-D	θ.ɹ.i1.d.i2
3D	θ.ɹ.i1.d.i2
:COLON	k.oʊ1.l.ʌ0.n
;SEMI-COLON	s.ɛ1.m.i0.k.oʊ1.l.ʌ0.n
;SEMI-COLON(1)	s.ɛ1.m.ɪ0.k.oʊ2.l.ʌ0.n
?QUESTION-MARK	k.w.ɛ1.s.tʃ.ʌ0.n.m.ɑ1.ɹ.k
A	ʌ0
A(1)	eɪ1
A'S	eɪ1.z
A.	eɪ1
A.'S	eɪ1.z
A.S	eɪ1.z
A42128	eɪ1.f.ɔ1.ɹ.t.u1.w.ʌ1.n.t.u1.eɪ1.t
AA	eɪ2.eɪ1
AAA	t.ɹ.ɪ2.p.ʌ0.l.eɪ1
AABERG	ɑ1.b.ɚ0.g
AACHEN	ɑ1.k.ʌ0.n
AACHENER	ɑ1.k.ʌ0.n.ɚ0
AAH	ɑ1
AAKER	ɑ1.k.ɚ0
AALIYAH	ɑ2.l.i1.ɑ2
AALSETH	ɑ1.l.s.ɛ0.θ
AAMODT	ɑ1.m.ʌ0.t
AANCOR	ɑ1.n.k.ɔ2.ɹ
AARDEMA	ɑ0.ɹ.d.ɛ1.m.ʌ0
AARDVARK	ɑ1.ɹ.d.v.ɑ2.ɹ.k
AARDVARKS	ɑ1.ɹ.d.v.ɑ2.ɹ.k.s
AARGH	ɑ1.ɹ.g
AARON	ɛ1.ɹ.ʌ0.n
AARON'S	ɛ1.ɹ.ʌ0.n.z
AARONS	ɛ1.ɹ.ʌ0.n.z
AARONSON	ɛ1.ɹ.ʌ0.n.s.ʌ0.n
AARONSON(1)	ɑ1.ɹ.ʌ0.n.s.ʌ0.n
AARONSON'S	ɛ1.ɹ.ʌ0.n.s.ʌ0.n.z
AARONSON'S(1)	ɑ1.ɹ.ʌ0.n.s.ʌ0.n.z
AARTI	ɑ1.ɹ.t.i2
AASE	ɑ1.s
AASEN	ɑ1.s.ʌ0.n
AB	æ1.b
ABA	eɪ2.b.i2.eɪ1
ABABA	ʌ0.b.ɑ1.b.ʌ0
ABABA(1)	ɑ1.b.ʌ0.b.ʌ0
ABACHA	æ1.b.ʌ0.k.ʌ0
ABACK	ʌ0.b.æ1.k
ABACO	æ1.b.ʌ0.k.oʊ2
ABACUS	æ1.b.ʌ0.k.ʌ0.s
ABAD	ʌ0.b.ɑ1.d
ABADAKA	ʌ0.b.æ1.d.ʌ0.k.ʌ0
ABADI	ʌ0.b.æ1.d.i0
ABADIE	ʌ0.b.æ1.d.i0
ABAIR	ʌ0.b.ɛ1.ɹ
ABALKIN	ʌ0.b.ɑ1.l.k.ɪ0.n
ABALONE	æ2.b.ʌ0.l.oʊ1.n.i0
ABALONES	æ2.b.ʌ0.l.oʊ1.n.i0.z
ABALOS	ɑ0.b.ɑ1.l.oʊ0.z
ABANDON	ʌ0.b.æ1.n.d.ʌ0.n
ABANDONED	ʌ0.b.æ1.n.d.ʌ0.n.d
ABANDONING	ʌ0.b.æ1.n.d.ʌ0.n.ɪ0.ŋ
ABANDONMENT	ʌ0.b.æ1.n.d.ʌ0.n.m.ʌ0.n.t
ABANDONMENTS	ʌ0.b.æ1.n.d.ʌ0.n.m.ʌ0.n.t.s
ABANDONS	ʌ0.b.æ1.n.d.ʌ0.n.z
ABANTO	ʌ0.b.æ1.n.t.oʊ0
ABARCA	ʌ0.b.ɑ1.ɹ.k.ʌ0
ABARE	ɑ0.b.ɑ1.ɹ.i0
ABASCAL	æ1.b.ʌ0.s.k.ʌ0.l
ABASH	ʌ0.b.æ1.ʃ
ABASHED	ʌ0.b.æ1.ʃ.t
ABASIA	ʌ0.b.eɪ1.ʒ.j.ʌ0
ABATE	ʌ0.b.eɪ1.t
ABATED	ʌ0.b.eɪ1.t.ɪ0.d
ABATEMENT	ʌ0.b.eɪ1.t.m.ʌ0.n.t
ABATEMENTS	ʌ0.b.eɪ1.t.m.ʌ0.n.t.s
ABATES	ʌ0.b.eɪ1.t.s
ABATING	ʌ0.b.eɪ1.t.ɪ0.ŋ
ABBA	æ1.b.ʌ0
ABBADO	ʌ0.b.ɑ1.d.oʊ0
ABBAS	ʌ0.b.ɑ1.s
ABBASI	ɑ0.b.ɑ1.s.i0
ABBATE	ɑ1.b.eɪ0.t
ABBATIELLO	ɑ0.b.ɑ0.t.i0.ɛ1.l.oʊ0
ABBE	æ1.b.i0
ABBE(1)	æ0.b.eɪ1
ABBENHAUS	æ1.b.ʌ0.n.h.aʊ2.s
ABBETT	ʌ0.b.ɛ1.t
ABBEVILLE	æ1.b.v.ɪ0.l
ABBEY	æ1.b.i0
ABBEY'S	æ1.b.i0.z
ABBIE	æ1.b.i0
ABBITT	æ1.b.ɪ0.t
ABBOT	æ1.b.ʌ0.t
ABBOTSTOWN	æ1.b.ʌ0.t.s.t.aʊ1.n
ABBOTT	æ1.b.ʌ0.t
ABBOTT'S	æ1.b.ʌ0.t.s
ABBOTTSTOWN	æ1.b.ʌ0.t.s.t.aʊ1.n
ABBOUD	ʌ0.b.u1.d
ABBOUD(1)	ʌ0.b.aʊ1.d
ABBREVIATE	ʌ0.b.ɹ.i1.v.i0.eɪ2.t
ABBREVIATED	ʌ0.b.ɹ.i1.v.i0.eɪ2.t.ɪ0.d
ABBREVIATES	ʌ0.b.ɹ.i1.v.i0.eɪ2.t.s
ABBREVIATING	ʌ0.b.ɹ.i1.v.i0.eɪ2.t.ɪ0.ŋ
ABBREVIATION	ʌ0.b.ɹ.i2.v.i0.eɪ1.ʃ.ʌ0.n
ABBREVIATIONS	ʌ0.b.ɹ.i2.v.i0.eɪ1.ʃ.ʌ0.n.z
ABBRUZZESE	ɑ0.b.ɹ.u0.t.s.eɪ1.z.i0
ABBS	æ1.b.z
ABBY	æ1.b.i0
ABC	eɪ1.b.i2.s.i2
ABC'S	eɪ1.b.i2.s.i2.z
ABCO	æ1.b.k.oʊ0
ABCOTEK	æ1.b.k.oʊ0.t.ɛ2.k
ABCS	eɪ1.b.i2.s.i2.z
ABDALLA	æ2.b.d.æ1.l.ʌ0
ABDALLAH	æ2.b.d.æ1.l.ʌ0
ABDEL	æ1.b.d.ɛ2.l
ABDELLA	æ2.b.d.ɛ1.l.ʌ0
ABDICATE	æ1.b.d.ʌ0.k.eɪ2.t
ABDICATED	æ1.b.d.ʌ0.k.eɪ2.t.ʌ0.d
ABDICATES	æ1.b.d.ʌ0.k.eɪ2.t.s
ABDICATING	æ1.b.d.ɪ0.k.eɪ2.t.ɪ0.ŋ
ABDICATION	æ2.b.d.ɪ0.k.eɪ1.ʃ.ʌ0.n
ABDNOR	æ1.b.d.n.ɚ0
ABDO	æ1.b.d.oʊ0
ABDOLLAH	æ2.b.d.ɑ1.l.ʌ0
ABDOMEN	æ0.b.d.oʊ1.m.ʌ0.n
ABDOMEN(1)	æ1.b.d.ʌ0.m.ʌ0.n
ABDOMINAL	æ0.b.d.ɑ1.m.ʌ0.n.ʌ0.l
ABDOMINAL(1)	ʌ0.b.d.ɑ1.m.ʌ0.n.ʌ0.l
ABDUCT	æ0.b.d.ʌ1.k.t
ABDUCTED	æ0.b.d.ʌ1.k.t.ɪ0.d
ABDUCTED(1)	ʌ0.b.d.ʌ1.k.t.ɪ0.d
ABDUCTEE	æ0.b.d.ʌ2.k.t.i1
ABDUCTEES	æ0.b.d.ʌ2.k.t.i1.z
ABDUCTING	æ0.b.d.ʌ1.k.t.ɪ0.ŋ
ABDUCTING(1)	ʌ0.b.d.ʌ1.k.t.ɪ0.ŋ
ABDUCTION	æ0.b.d.ʌ1.k.ʃ.ʌ0.n
ABDUCTION(1)	ʌ0.b.d.ʌ1.k.ʃ.ʌ0.n
ABDUCTIONS	æ0.b.d.ʌ1.k.ʃ.ʌ0.n.z
ABDUCTIONS(1)	ʌ0.b.d.ʌ1.k.ʃ.ʌ0.n.z
ABDUCTOR	æ0.b.d.ʌ1.k.t.ɚ0
ABDUCTOR(1)	ʌ0.b.d.ʌ1.k.t.ɚ0
ABDUCTORS	æ0.b.d.ʌ1.k.t.ɚ0.z
ABDUCTORS(1)	ʌ0.b.d.ʌ1.k.t.ɚ0.z
ABDUCTS	æ0.b.d.ʌ1.k.t.s
ABDUL	æ0.b.d.u1.l
ABDULAZIZ	æ0.b.d.u2.l.ʌ0.z.i1.z
ABDULLA	ɑ0.b.d.u1.l.ʌ0
ABDULLAH	æ2.b.d.ʌ1.l.ʌ0
ABE	eɪ1.b
ABED	ʌ0.b.ɛ1.d
ABEDI	ʌ0.b.ɛ1.d.i0
ABEE	ʌ0.b.i1
ABEL	eɪ1.b.ʌ0.l
ABELA	ɑ0.b.ɛ1.l.ʌ0
ABELARD	æ1.b.ɪ0.l.ɚ0.d
ABELE	ʌ0.b.ɛ1.l
ABELES	ʌ0.b.ɛ1.l.z
ABELES(1)	eɪ1.b.ʌ0.l.i2.z
ABELL	eɪ1.b.ʌ0.l
ABELLA	ʌ0.b.ɛ1.l.ʌ0
ABELN	æ1.b.ɪ0.l.n
ABELOW	æ1.b.ʌ0.l.oʊ0
ABELS	eɪ1.b.ʌ0.l.z
ABELSON	æ1.b.ɪ0.l.s.ʌ0.n
ABEND	æ1.b.ɛ0.n.d
ABEND(1)	ʌ0.b.ɛ1.n.d
ABENDROTH	æ1.b.ɪ0.n.d.ɹ.ɔ0.θ
ABER	eɪ1.b.ɚ0
ABERCROMBIE	æ2.b.ɚ0.k.ɹ.ɑ1.m.b.i0
ABERDEEN	æ1.b.ɚ0.d.i2.n
ABERFORD	eɪ1.b.ɚ0.f.ɚ0.d
ABERG	æ1.b.ɚ0.g
ABERLE	æ1.b.ɚ0.ʌ0.l
ABERLE(1)	æ1.b.ɚ0.l
ABERMIN	æ1.b.ɚ0.m.ɪ0.n
ABERNATHY	æ1.b.ɚ0.n.æ2.θ.i0
ABERNETHY	æ1.b.ɚ0.n.ɛ2.θ.i0
ABERRANT	æ0.b.ɛ1.ɹ.ʌ0.n.t
ABERRATION	æ2.b.ɚ0.eɪ1.ʃ.ʌ0.n
ABERRATIONAL	æ2.b.ɚ0.eɪ1.ʃ.ʌ0.n.ʌ0.l
ABERRATIONS	æ2.b.ɚ0.eɪ1.ʃ.ʌ0.n.z
ABERT	æ1.b.ɚ0.t
ABET	ʌ0.b.ɛ1.t
ABETTED	ʌ0.b.ɛ1.t.ɪ0.d
ABETTING	ʌ0.b.ɛ1.t.ɪ0.ŋ
ABEX	eɪ1.b.ɛ0.k.s
ABEYANCE	ʌ0.b.eɪ1.ʌ0.n.s
ABEYTA	ɑ0.b.eɪ1.t.ʌ0
ABHOR	æ0.b.h.ɔ1.ɹ
ABHORRED	ʌ0.b.h.ɔ1.ɹ.d
ABHORRENCE	ʌ0.b.h.ɔ1.ɹ.ʌ0.n.s
ABHORRENT	æ0.b.h.ɔ1.ɹ.ʌ0.n.t
ABHORS	ʌ0.b.h.ɔ1.ɹ.z
ABIAM	eɪ1.b.i0.ʌ0.m
ABIAM'S	eɪ1.b.i0.ʌ0.m.z
ABID	eɪ1.b.ɪ0.d
ABIDE	ʌ0.b.aɪ1.d
ABIDED	ʌ0.b.aɪ1.d.ɪ0.d
ABIDES	ʌ0.b.aɪ1.d.z
ABIDING	ʌ0.b.aɪ1.d.ɪ0.ŋ
ABIDJAN	æ0.b.ɪ0.dʒ.ɑ1.n
ABIE	æ1.b.i0
ABIGAIL	æ1.b.ʌ0.g.eɪ2.l
ABILA	ɑ0.b.i1.l.ʌ0
ABILENE	æ1.b.ɪ0.l.i2.n
ABILITIES	ʌ0.b.ɪ1.l.ʌ0.t.i2.z
ABILITY	ʌ0.b.ɪ1.l.ʌ0.t.i2
ABIMAEL	æ2.b.ɪ0.m.eɪ1.l
ABIMAELS	æ2.b.ɪ0.m.eɪ1.l.z
ABINGDON	æ1.b.ɪ0.ŋ.d.ʌ0.n
ABINGTON	æ1.b.ɪ0.ŋ.t.ʌ0.n
ABIO	ɑ1.b.i0.oʊ0
ABIOLA	ɑ2.b.i0.oʊ1.l.ʌ0
ABIOLA'S	ɑ2.b.i0.oʊ1.l.ʌ0.z
ABIOMED	eɪ0.b.i1.ʌ0.m.ɛ0.d
ABIQUIU	ʌ0.b.ɪ1.k.j.u0
ABITIBI	æ2.b.ɪ0.t.i1.b.i0
ABITZ	æ1.b.ɪ0.t.s
ABJECT	æ1.b.dʒ.ɛ0.k.t
ABKHAZIA	æ0.b.k.ɑ1.z.j.ʌ0
ABKHAZIA(1)	æ0.b.k.æ1.z.j.ʌ0
ABKHAZIAN	æ0.b.k.ɑ1.z.i0.ʌ0.n
ABKHAZIAN(1)	æ0.b.k.æ1.z.i0.ʌ0.n
ABKHAZIAN(2)	æ0.b.k.ɑ1.z.j.ʌ0.n
ABKHAZIAN(3)	æ0.b.k.æ1.z.j.ʌ0.n
ABKHAZIANS	æ0.b.k.ɑ1.z.i0.ʌ0.n.z
ABKHAZIANS(1)	æ0.b.k.æ1.z.i0.ʌ0.n.z
ABLAZE	ʌ0.b.l.eɪ1.z
ABLE	eɪ1.b.ʌ0.l
ABLE-BODIED	eɪ1.b.ʌ0.l.b.ɑ1.d.i0.d
ABLED	eɪ1.b.ʌ0.l.d
ABLER	eɪ1.b.ʌ0.l.ɚ0
ABLER(1)	eɪ1.b.l.ɚ0
ABLES	eɪ1.b.ʌ0.l.z
ABLEST	eɪ1.b.ʌ0.l.s.t
ABLEST(1)	eɪ1.b.l.ʌ0.s.t
ABLOOM	ʌ0.b.l.u1.m
ABLY	eɪ1.b.l.i0
ABNEGATION	æ2.b.n.ɛ0.g.eɪ1.ʃ.ʌ0.n
ABNER	æ1.b.n.ɚ0
ABNEY	æ1.b.n.i0
ABNORMAL	æ0.b.n.ɔ1.ɹ.m.ʌ0.l
ABNORMALITIES	æ2.b.n.ɔ0.ɹ.m.æ1.l.ʌ0.t.i0.z
ABNORMALITY	æ2.b.n.ɔ0.ɹ.m.æ1.l.ʌ0.t.i0
ABNORMALLY	æ0.b.n.ɔ1.ɹ.m.ʌ0.l.i0
ABO	ɑ1.b.oʊ0
ABO'S	ɑ1.b.oʊ0.z
ABOARD	ʌ0.b.ɔ1.ɹ.d
ABODE	ʌ0.b.oʊ1.d
ABOHALIMA	æ0.b.ʌ0.h.ʌ0.l.i1.m.ʌ0
ABOLISH	ʌ0.b.ɑ1.l.ɪ0.ʃ
ABOLISHED	ʌ0.b.ɑ1.l.ɪ0.ʃ.t
ABOLISHES	ʌ0.b.ɑ1.l.ɪ0.ʃ.ɪ0.z
ABOLISHING	ʌ0.b.ɑ1.l.ɪ0.ʃ.ɪ0.ŋ
ABOLITION	æ2.b.ʌ0.l.ɪ1.ʃ.ʌ0.n
ABOLITIONISM	æ2.b.ʌ0.l.ɪ1.ʃ.ʌ0.n.ɪ2.z.ʌ0.m
ABOLITIONIST	æ2.b.ʌ0.l.ɪ1.ʃ.ʌ0.n.ʌ0.s.t
ABOLITIONISTS	æ2.b.ʌ0.l.ɪ1.ʃ.ʌ0.n.ʌ0.s.t.s
ABOLITIONISTS(1)	æ2.b.ʌ0.l.ɪ1.ʃ.ʌ0.n.ʌ0.s
ABOMINABLE	ʌ0.b.ɑ1.m.ʌ0.n.ʌ0.b.ʌ0.l
ABOMINATION	ʌ0.b.ɑ2.m.ʌ0.n.eɪ1.ʃ.ʌ0.n
ABOMINATIONS	ʌ0.b.ɑ2.m.ʌ0.n.eɪ1.ʃ.ʌ0.n.z
ABOOD	ʌ0.b.u1.d
ABOODI	ʌ0.b.u1.d.i0
ABOR	ʌ0.b.ɔ1.ɹ
ABORIGINAL	æ2.b.ɚ0.ɪ1.dʒ.ʌ0.n.ʌ0.l
ABORIGINE	æ2.b.ɚ0.ɪ1.dʒ.ʌ0.n.i0
ABORIGINES	æ2.b.ɚ0.ɪ1.dʒ.ʌ0.n.i0.z
ABORN	ʌ0.b.ɔ1.ɹ.n
ABORT	ʌ0.b.ɔ1.ɹ.t
ABORTED	ʌ0.b.ɔ1.ɹ.t.ɪ0.d
ABORTIFACIENT	ʌ0.b.ɔ2.ɹ.t.ʌ0.f.eɪ1.ʃ.ʌ0.n.t
ABORTIFACIENTS	ʌ0.b.ɔ2.ɹ.t.ʌ0.f.eɪ1.ʃ.ʌ0.n.t.s
ABORTING	ʌ0.b.ɔ1.ɹ.t.ɪ0.ŋ
ABORTION	ʌ0.b.ɔ1.ɹ.ʃ.ʌ0.n
ABORTIONIST	ʌ0.b.ɔ1.ɹ.ʃ.ʌ0.n.ɪ0.s.t
ABORTIONISTS	ʌ0.b.ɔ1.ɹ.ʃ.ʌ0.n.ɪ0.s.t.s
ABORTIONISTS(1)	ʌ0.b.ɔ1.ɹ.ʃ.ʌ0.n.ɪ0.s
ABORTIONS	ʌ0.b.ɔ1.ɹ.ʃ.ʌ0.n.z
ABORTIVE	ʌ0.b.ɔ1.ɹ.t.ɪ0.v
ABORTS	ʌ0.b.ɔ1.ɹ.t.s
ABOTT	ʌ0.b.ɑ1.t
ABOU	ʌ0.b.u1
ABOUD	ɑ0.b.u1.d
ABOUHALIMA	ɑ2.b.u0.h.ɑ0.l.i1.m.ʌ0
ABOUHALIMA'S	ɑ2.b.u0.h.ɑ0.l.i1.m.ʌ0.z
ABOUND	ʌ0.b.aʊ1.n.d
ABOUNDED	ʌ0.b.aʊ1.n.d.ɪ0.d
ABOUNDING	ʌ0.b.aʊ1.n.d.ɪ0.ŋ
ABOUNDS	ʌ0.b.aʊ1.n.d.z
ABOUT	ʌ0.b.aʊ1.t
ABOUT'S	ʌ0.b.aʊ1.t.s
ABOVE	ʌ0.b.ʌ1.v
ABOVE'S	ʌ0.b.ʌ1.v.z
ABOVEBOARD	ʌ0.b.ʌ1.v.b.ɔ2.ɹ.d
ABPLANALP	æ1.b.p.l.ʌ0.n.æ0.l.p
ABRA	ɑ1.b.ɹ.ʌ0
ABRACADABRA	æ2.b.ɹ.ʌ0.k.ʌ0.d.æ1.b.ɹ.ʌ0
ABRAHAM	eɪ1.b.ɹ.ʌ0.h.æ2.m
ABRAHAMIAN	æ2.b.ɹ.ʌ0.h.eɪ1.m.i0.ʌ0.n
ABRAHAMS	eɪ1.b.ɹ.ʌ0.h.æ2.m.z
ABRAHAMSEN	æ0.b.ɹ.ʌ0.h.æ1.m.s.ʌ0.n
ABRAHAMSON	ʌ0.b.ɹ.æ1.h.ʌ0.m.s.ʌ0.n
ABRAM	ʌ0.b.ɹ.æ1.m
ABRAM'S	eɪ1.b.ɹ.ʌ0.m.z
ABRAMCZYK	ɑ1.b.ɹ.ʌ0.m.tʃ.ɪ0.k
ABRAMO	ɑ0.b.ɹ.ɑ1.m.oʊ0
ABRAMOVITZ	ʌ0.b.ɹ.ɑ1.m.ʌ0.v.ɪ0.t.s
ABRAMOWICZ	ʌ0.b.ɹ.ɑ1.m.ʌ0.v.ɪ0.tʃ
ABRAMOWITZ	ʌ0.b.ɹ.ɑ1.m.ʌ0.w.ɪ0.t.s
ABRAMS	eɪ1.b.ɹ.ʌ0.m.z
ABRAMS'S	eɪ1.b.ɹ.ʌ0.m.z.ɪ0.z
ABRAMSON	eɪ1.b.ɹ.ʌ0.m.s.ʌ0.n
ABRASION	ʌ0.b.ɹ.eɪ1.ʒ.ʌ0.n
ABRASIONS	ʌ0.b.ɹ.eɪ1.ʒ.ʌ0.n.z
ABRASIVE	ʌ0.b.ɹ.eɪ1.s.ɪ0.v
ABRASIVES	ʌ0.b.ɹ.eɪ1.s.ɪ0.v.z
ABRAXA	ʌ0.b.ɹ.æ1.k.s.ʌ0
ABRAXA'S	ʌ0.b.ɹ.æ1.k.s.ʌ0.z
ABRAXAS	ʌ0.b.ɹ.æ1.k.s.ʌ0.z
ABREAST	ʌ0.b.ɹ.ɛ1.s.t
ABREGO	ɑ0.b.ɹ.ɛ1.g.oʊ0
ABREU	ʌ0.b.ɹ.u1
ABRIDGE	ʌ0.b.ɹ.ɪ1.dʒ
ABRIDGED	ʌ0.b.ɹ.ɪ1.dʒ.d
ABRIDGEMENT	ʌ0.b.ɹ.ɪ1.dʒ.m.ʌ0.n.t
ABRIDGES	ʌ0.b.ɹ.ɪ1.dʒ.ʌ0.z
ABRIDGING	ʌ0.b.ɹ.ɪ1.dʒ.ɪ0.ŋ
ABRIL	ʌ0.b.ɹ.ɪ1.l
ABROAD	ʌ0.b.ɹ.ɔ1.d
ABROGATE	æ1.b.ɹ.ʌ0.g.eɪ2.t
ABROGATED	æ1.b.ɹ.ʌ0.g.eɪ2.t.ɪ0.d
ABROGATING	æ1.b.ɹ.ʌ0.g.eɪ2.t.ɪ0.ŋ
ABROGATION	æ2.b.ɹ.ʌ0.g.eɪ1.ʃ.ʌ0.n
ABROL	ʌ0.b.ɹ.oʊ1.l
ABRON	ʌ0.b.ɹ.ɑ1.n
ABRUPT	ʌ0.b.ɹ.ʌ1.p.t
ABRUPTLY	ʌ0.b.ɹ.ʌ1.p.t.l.i0
ABRUPTNESS	ʌ0.b.ɹ.ʌ1.p.t.n.ʌ0.s
ABRUTYN	eɪ1.b.ɹ.u0.t.ɪ0.n
ABRUZZESE	ɑ0.b.ɹ.u0.t.s.eɪ1.z.i0
ABRUZZO	ɑ0.b.ɹ.u1.z.oʊ0
ABS	eɪ1.b.i1.ɛ1.s
ABS(1)	æ1.b.z
ABSALOM	æ1.b.s.ʌ0.l.ʌ0.m
ABSARAKA	æ0.b.s.ɑ1.ɹ.ʌ0.k.ʌ0
ABSCAM	æ1.b.s.k.æ0.m
ABSCESS	æ1.b.s.ɛ2.s
ABSCOND	æ0.b.s.k.ɑ1.n.d
ABSCONDED	æ0.b.s.k.ɑ1.n.d.ʌ0.d
ABSCONDING	æ0.b.s.k.ɑ1.n.d.ɪ0.ŋ
ABSCONDS	æ0.b.s.k.ɑ1.n.d.z
ABSECON	æ1.b.s.ʌ0.k.ɔ0.n
ABSENCE	æ1.b.s.ʌ0.n.s
ABSENCES	æ1.b.s.ʌ0.n.s.ɪ0.z
ABSENT	æ1.b.s.ʌ0.n.t
ABSENTEE	æ2.b.s.ʌ0.n.t.i1
ABSENTEEISM	æ2.b.s.ʌ0.n.t.i1.ɪ0.z.ʌ0.m
ABSENTEES	æ2.b.s.ʌ0.n.t.i1.z
ABSENTIA	æ0.b.s.ɛ1.n.ʃ.ʌ0
ABSHER	æ1.b.ʃ.ɚ0
ABSHIER	æ1.b.ʃ.i0.ɚ0
ABSHIRE	æ1.b.ʃ.aɪ2.ɹ
ABSINTHE	æ1.b.s.ɪ0.n.θ
ABSO	æ1.b.s.oʊ0
ABSOLOM	æ1.b.s.ʌ0.l.ʌ0.m
ABSOLUT	æ2.b.s.ʌ0.l.u1.t
ABSOLUT'S	æ2.b.s.ʌ0.l.u1.t.s
ABSOLUTE	æ1.b.s.ʌ0.l.u2.t
ABSOLUTELY	æ2.b.s.ʌ0.l.u1.t.l.i0
ABSOLUTENESS	æ1.b.s.ʌ0.l.u2.t.n.ʌ0.s
ABSOLUTES	æ1.b.s.ʌ0.l.u2.t.s
ABSOLUTION	æ2.b.s.ʌ0.l.u1.ʃ.ʌ0.n
ABSOLUTISM	æ1.b.s.ʌ0.l.u2.t.ɪ2.z.ʌ0.m
ABSOLUTIST	æ0.b.s.ʌ0.l.u1.t.ɪ0.s.t
ABSOLVE	ʌ0.b.z.ɑ1.l.v
ABSOLVE(1)	æ0.b.z.ɑ1.l.v
ABSOLVED	ʌ0.b.z.ɑ1.l.v.d
ABSOLVED(1)	æ0.b.z.ɑ1.l.v.d
ABSOLVES	ʌ0.b.z.ɑ1.l.v.z
ABSOLVES(1)	æ0.b.z.ɑ1.l.v.z
ABSOLVING	ʌ0.b.z.ɑ1.l.v.ɪ0.ŋ
ABSOLVING(1)	æ0.b.z.ɑ1.l.v.ɪ0.ŋ
ABSORB	ʌ0.b.z.ɔ1.ɹ.b
ABSORBED	ʌ0.b.z.ɔ1.ɹ.b.d
